ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach,flight_id
SWA4569,,1487554800,1487559600,KMAF,KHOU,B733,,0,0,143,SWA4569-1487312847-airline-0540
SWA3020,,1487552400,1487560200,KBNA,KHOU,B737,,0,0,143,SWA3020-1487312847-airline-0255
SWA1775,,1487550900,1487560500,KMDW,KHOU,B738,,0,0,175,SWA1775-1487312841-airline-0053
SWA4424,,1487550600,1487561700,KLAX,KHOU,B737,,0,0,143,SWA4424-1487312847-airline-0460
SWA4162,,1487559000,1487569800,KLAX,KHOU,B737,,0,0,143,SWA4162-1487312847-airline-0883
SWA5447,,1487558100,1487561100,KSAT,KHOU,B737,,0,0,143,SWA5447-1487312847-airline-0172
SWA5393,,1487550300,1487560800,KFLL,KHOU,B738,,0,0,175,SWA5393-1487312847-airline-0020
SWA571,,1487552700,1487565900,KBWI,KHOU,B738,,0,0,175,SWA571-1487312847-airline-0451
SWA3804,,1487555400,1487563800,KATL,KHOU,B737,,0,0,143,SWA3804-1487312847-airline-0117
DAL2284,,1487557320,1487565960,KATL,KHOU,,First: Refreshments / Economy: Refreshments,12,0,98,DAL2284-1487312754-airline-0542
SWA4648,,1487562600,1487570100,KSTL,KHOU,B737,,0,0,143,SWA4648-1487312847-airline-0705
SWA63,,1487563200,1487567100,KDAL,KHOU,B733,,0,0,137,SWA63-1487312841-airline-0524
SWA2710,,1487559600,1487563200,KDAL,KHOU,B733,,0,0,137,SWA2710-1487312841-airline-0521
SWA4412,,1487556000,1487559600,KDAL,KHOU,B737,,0,0,143,SWA4412-1487312847-airline-0365
SWA5576,,1487552400,1487556300,KDAL,KHOU,B733,,0,0,143,SWA5576-1487312847-airline-0783
SWA2525,,1487548800,1487552700,KDAL,KHOU,B733,,0,0,137,
KLM5934,DAL2284,1487557320,1487565960,KATL,KHOU,,First: No meal / Economy: No meal,12,0,98,DAL2284-1487312754-airline-0542
VIR5097,DAL2284,1487557320,1487565960,KATL,KHOU,,First: Snack or brunch / Economy: Refreshments,12,0,98,DAL2284-1487312754-airline-0542
SWA4566,,1487560500,1487568900,KDEN,KHOU,B737,,0,0,143,SWA4566-1487312847-airline-0692
SWA3652,,1487553600,1487562000,KDEN,KHOU,B737,,0,0,143,SWA3652-1487312847-airline-0179
SWA5458,,1487551800,1487560200,KATL,KHOU,B733,,0,0,143,SWA5458-1487312847-airline-0587
SWA2020,,1487549400,1487552700,KCRP,KHOU,B737,,0,0,143,SWA2020-1487312841-airline-0322
SWA3262,,1487556600,1487566500,KMDW,KHOU,B737,,0,0,143,SWA3262-1487312847-airline-0477
SWA4932,,1487557800,1487561100,KAUS,KHOU,B738,,0,0,175,SWA4932-1487312847-airline-0656
SWA5446,,1487550600,1487553600,KAUS,KHOU,B737,,0,0,143,SWA5446-1487312847-airline-0281
