,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach,flight_id,departuretime_human,arrivaltime_human,depart_date,arrive_date,depart_timestamp,arrive_timestamp,depart_time_hour_stamp,arrive_time_hour_stamp
0,SWA4569,,1487554800,1487559600,KMAF,KHOU,B733,,0,0,143,SWA4569-1487312847-airline-0540,2017-02-20 01:40:00,2017-02-20 03:00:00,2017-02-20,2017-02-20,01:40:00,03:00:00,1,3
1,SWA3020,,1487552400,1487560200,KBNA,KHOU,B737,,0,0,143,SWA3020-1487312847-airline-0255,2017-02-20 01:00:00,2017-02-20 03:10:00,2017-02-20,2017-02-20,01:00:00,03:10:00,1,3
2,SWA1775,,1487550900,1487560500,KMDW,KHOU,B738,,0,0,175,SWA1775-1487312841-airline-0053,2017-02-20 00:35:00,2017-02-20 03:15:00,2017-02-20,2017-02-20,00:35:00,03:15:00,0,3
3,SWA4424,,1487550600,1487561700,KLAX,KHOU,B737,,0,0,143,SWA4424-1487312847-airline-0460,2017-02-20 00:30:00,2017-02-20 03:35:00,2017-02-20,2017-02-20,00:30:00,03:35:00,0,3
4,SWA4162,,1487559000,1487569800,KLAX,KHOU,B737,,0,0,143,SWA4162-1487312847-airline-0883,2017-02-20 02:50:00,2017-02-20 05:50:00,2017-02-20,2017-02-20,02:50:00,05:50:00,2,5
5,SWA5447,,1487558100,1487561100,KSAT,KHOU,B737,,0,0,143,SWA5447-1487312847-airline-0172,2017-02-20 02:35:00,2017-02-20 03:25:00,2017-02-20,2017-02-20,02:35:00,03:25:00,2,3
6,SWA5393,,1487550300,1487560800,KFLL,KHOU,B738,,0,0,175,SWA5393-1487312847-airline-0020,2017-02-20 00:25:00,2017-02-20 03:20:00,2017-02-20,2017-02-20,00:25:00,03:20:00,0,3
7,SWA571,,1487552700,1487565900,KBWI,KHOU,B738,,0,0,175,SWA571-1487312847-airline-0451,2017-02-20 01:05:00,2017-02-20 04:45:00,2017-02-20,2017-02-20,01:05:00,04:45:00,1,4
8,SWA3804,,1487555400,1487563800,KATL,KHOU,B737,,0,0,143,SWA3804-1487312847-airline-0117,2017-02-20 01:50:00,2017-02-20 04:10:00,2017-02-20,2017-02-20,01:50:00,04:10:00,1,4
9,DAL2284,,1487557320,1487565960,KATL,KHOU,,First: Refreshments / Economy: Refreshments,12,0,98,DAL2284-1487312754-airline-0542,2017-02-20 02:22:00,2017-02-20 04:46:00,2017-02-20,2017-02-20,02:22:00,04:46:00,2,4
10,SWA4648,,1487562600,1487570100,KSTL,KHOU,B737,,0,0,143,SWA4648-1487312847-airline-0705,2017-02-20 03:50:00,2017-02-20 05:55:00,2017-02-20,2017-02-20,03:50:00,05:55:00,3,5
11,SWA63,,1487563200,1487567100,KDAL,KHOU,B733,,0,0,137,SWA63-1487312841-airline-0524,2017-02-20 04:00:00,2017-02-20 05:05:00,2017-02-20,2017-02-20,04:00:00,05:05:00,4,5
12,SWA2710,,1487559600,1487563200,KDAL,KHOU,B733,,0,0,137,SWA2710-1487312841-airline-0521,2017-02-20 03:00:00,2017-02-20 04:00:00,2017-02-20,2017-02-20,03:00:00,04:00:00,3,4
13,SWA4412,,1487556000,1487559600,KDAL,KHOU,B737,,0,0,143,SWA4412-1487312847-airline-0365,2017-02-20 02:00:00,2017-02-20 03:00:00,2017-02-20,2017-02-20,02:00:00,03:00:00,2,3
14,SWA5576,,1487552400,1487556300,KDAL,KHOU,B733,,0,0,143,SWA5576-1487312847-airline-0783,2017-02-20 01:00:00,2017-02-20 02:05:00,2017-02-20,2017-02-20,01:00:00,02:05:00,1,2
15,SWA2525,,1487548800,1487552700,KDAL,KHOU,B733,,0,0,137,,2017-02-20 00:00:00,2017-02-20 01:05:00,2017-02-20,2017-02-20,00:00:00,01:05:00,0,1
16,KLM5934,DAL2284,1487557320,1487565960,KATL,KHOU,,First: No meal / Economy: No meal,12,0,98,DAL2284-1487312754-airline-0542,2017-02-20 02:22:00,2017-02-20 04:46:00,2017-02-20,2017-02-20,02:22:00,04:46:00,2,4
17,VIR5097,DAL2284,1487557320,1487565960,KATL,KHOU,,First: Snack or brunch / Economy: Refreshments,12,0,98,DAL2284-1487312754-airline-0542,2017-02-20 02:22:00,2017-02-20 04:46:00,2017-02-20,2017-02-20,02:22:00,04:46:00,2,4
18,SWA4566,,1487560500,1487568900,KDEN,KHOU,B737,,0,0,143,SWA4566-1487312847-airline-0692,2017-02-20 03:15:00,2017-02-20 05:35:00,2017-02-20,2017-02-20,03:15:00,05:35:00,3,5
19,SWA3652,,1487553600,1487562000,KDEN,KHOU,B737,,0,0,143,SWA3652-1487312847-airline-0179,2017-02-20 01:20:00,2017-02-20 03:40:00,2017-02-20,2017-02-20,01:20:00,03:40:00,1,3
20,SWA5458,,1487551800,1487560200,KATL,KHOU,B733,,0,0,143,SWA5458-1487312847-airline-0587,2017-02-20 00:50:00,2017-02-20 03:10:00,2017-02-20,2017-02-20,00:50:00,03:10:00,0,3
21,SWA2020,,1487549400,1487552700,KCRP,KHOU,B737,,0,0,143,SWA2020-1487312841-airline-0322,2017-02-20 00:10:00,2017-02-20 01:05:00,2017-02-20,2017-02-20,00:10:00,01:05:00,0,1
22,SWA3262,,1487556600,1487566500,KMDW,KHOU,B737,,0,0,143,SWA3262-1487312847-airline-0477,2017-02-20 02:10:00,2017-02-20 04:55:00,2017-02-20,2017-02-20,02:10:00,04:55:00,2,4
23,SWA4932,,1487557800,1487561100,KAUS,KHOU,B738,,0,0,175,SWA4932-1487312847-airline-0656,2017-02-20 02:30:00,2017-02-20 03:25:00,2017-02-20,2017-02-20,02:30:00,03:25:00,2,3
24,SWA5446,,1487550600,1487553600,KAUS,KHOU,B737,,0,0,143,SWA5446-1487312847-airline-0281,2017-02-20 00:30:00,2017-02-20 01:20:00,2017-02-20,2017-02-20,00:30:00,01:20:00,0,1
25,SWA4266,,1487555100,1487560500,KTUL,KHOU,B737,,0,0,143,SWA4266-1487312847-airline-0420,2017-02-20 01:45:00,2017-02-20 03:15:00,2017-02-20,2017-02-20,01:45:00,03:15:00,1,3
26,SWA3760,,1487552100,1487560800,KTPA,KHOU,B737,,0,0,143,SWA3760-1487312847-airline-0173,2017-02-20 00:55:00,2017-02-20 03:20:00,2017-02-20,2017-02-20,00:55:00,03:20:00,0,3
27,SWA4682,,1487550000,1487560200,KLAS,KHOU,B738,,0,0,175,SWA4682-1487312847-airline-0056,2017-02-20 00:20:00,2017-02-20 03:10:00,2017-02-20,2017-02-20,00:20:00,03:10:00,0,3
28,SWA3104,,1487550900,1487554200,KSAT,KHOU,B733,,0,0,143,SWA3104-1487312847-airline-0431,2017-02-20 00:35:00,2017-02-20 01:30:00,2017-02-20,2017-02-20,00:35:00,01:30:00,0,1
29,SWA5317,,1487556900,1487567100,KLAS,KHOU,B737,,0,0,143,SWA5317-1487312847-airline-0473,2017-02-20 02:15:00,2017-02-20 05:05:00,2017-02-20,2017-02-20,02:15:00,05:05:00,2,5
30,SWA4601,,1487556600,1487560800,KMSY,KHOU,B737,,0,0,143,SWA4601-1487312847-airline-0326,2017-02-20 02:10:00,2017-02-20 03:20:00,2017-02-20,2017-02-20,02:10:00,03:20:00,2,3
31,SWA5368,,1487561100,1487565300,KMSY,KHOU,B737,,0,0,143,SWA5368-1487312847-airline-0796,2017-02-20 03:25:00,2017-02-20 04:35:00,2017-02-20,2017-02-20,03:25:00,04:35:00,3,4
32,SWA5445,,1487556000,1487565600,KMCO,KHOU,B733,,0,0,143,SWA5445-1487312847-airline-0002,2017-02-20 02:00:00,2017-02-20 04:40:00,2017-02-20,2017-02-20,02:00:00,04:40:00,2,4
33,SWA3111,,1487554800,1487561100,KMEM,KHOU,B737,,0,0,143,SWA3111-1487312847-airline-0570,2017-02-20 01:40:00,2017-02-20 03:25:00,2017-02-20,2017-02-20,01:40:00,03:25:00,1,3
34,SWA3786,,1487559000,1487567400,KPHX,KHOU,B737,,0,0,143,SWA3786-1487312847-airline-0453,2017-02-20 02:50:00,2017-02-20 05:10:00,2017-02-20,2017-02-20,02:50:00,05:10:00,2,5
35,SWA3209,,1487555400,1487559000,KHRL,KHOU,B733,,0,0,143,SWA3209-1487312847-airline-0793,2017-02-20 01:50:00,2017-02-20 02:50:00,2017-02-20,2017-02-20,01:50:00,02:50:00,1,2
