name,type,latitude,longitude,flight_id,order
KMAF,Origin Airport,31.9425278,-102.2019167,SWA4569-1487312847-airline-0540,0
SJT,VOR-TAC (NAVAID),31.375,-100.455,SWA4569-1487312847-airline-0540,1
LLO,VOR-TAC (NAVAID),30.7963333,-98.7873889,SWA4569-1487312847-airline-0540,2
CHUKY,Waypoint,30.6965278,-98.0224444,SWA4569-1487312847-airline-0540,3
OWEEE,Reporting Point,30.5641667,-97.0648056,SWA4569-1487312847-airline-0540,4
PHEBE,Waypoint,30.4914722,-96.793,SWA4569-1487312847-airline-0540,5
JAAES,Reporting Point,30.4259722,-96.5557778,SWA4569-1487312847-airline-0540,6
KIDDZ,Reporting Point,30.2236111,-96.2157778,SWA4569-1487312847-airline-0540,7
SNIFY,Waypoint,30.1576667,-96.1806667,SWA4569-1487312847-airline-0540,8
QTRBK,Reporting Point,30.0598333,-96.1283333,SWA4569-1487312847-airline-0540,9
RVEEE,Waypoint,29.8271111,-95.9950556,SWA4569-1487312847-airline-0540,10
AAHZZ,Waypoint,29.7309167,-95.9316667,SWA4569-1487312847-airline-0540,11
GLUVR,Waypoint,29.6521944,-95.8807222,SWA4569-1487312847-airline-0540,12
GEEEO,Waypoint,29.4803333,-95.6489722,SWA4569-1487312847-airline-0540,13
KHOU,Destination Airport,29.6454167,-95.2788889,SWA4569-1487312847-airline-0540,14
KBNA,Origin Airport,36.1244722,-86.6781667,SWA3020-1487312847-airline-0255,0
BGDDY,Waypoint,36.0994444,-87.2177778,SWA3020-1487312847-airline-0255,1
DANLS,Waypoint,35.8836944,-88.2691944,SWA3020-1487312847-airline-0255,2
UJM,VOR-DME (NAVAID),34.575,-90.6744444,SWA3020-1487312847-airline-0255,3
DHART,Reporting Point,33.3978167,-92.419325,SWA3020-1487312847-airline-0255,4
KAMEN,Reporting Point,32.6694861,-92.552075,SWA3020-1487312847-airline-0255,5
SWB,VOR-DME (NAVAID),31.9731944,-92.6770889,SWA3020-1487312847-airline-0255,6
SWB,VOR-DME (NAVAID),31.9731944,-92.6770833,SWA3020-1487312847-airline-0255,7
JMIKE,Waypoint,30.7833333,-93.8156944,SWA3020-1487312847-airline-0255,8
ZEBBB,Waypoint,30.6214444,-93.9669444,SWA3020-1487312847-airline-0255,9
WAPPL,Reporting Point,30.2318889,-94.3306389,SWA3020-1487312847-airline-0255,10
WLMOR,Waypoint,30.1529722,-94.6251944,SWA3020-1487312847-airline-0255,11
HUDZY,Reporting Point,30.1035556,-94.8088056,SWA3020-1487312847-airline-0255,12
CLWSN,Reporting Point,30.0737222,-94.9188333,SWA3020-1487312847-airline-0255,13
SWWAA,Reporting Point,30.00875,-95.1570556,SWA3020-1487312847-airline-0255,14
PUSHN,Waypoint,29.8605,-95.2005,SWA3020-1487312847-airline-0255,15
BUGZY,Waypoint,29.76225,-95.2312778,SWA3020-1487312847-airline-0255,16
PRTCH,Waypoint,29.7231944,-95.2433056,SWA3020-1487312847-airline-0255,17
SHUUG,Waypoint,29.5637222,-95.24175,SWA3020-1487312847-airline-0255,18
EMARR,Waypoint,29.5400833,-95.2687778,SWA3020-1487312847-airline-0255,19
KHOU,Destination Airport,29.6454167,-95.2788889,SWA3020-1487312847-airline-0255,20
KMDW,Origin Airport,41.7859722,-87.7524167,SWA1775-1487312841-airline-0053,0
BACEN,Waypoint (RNAV),41.4066667,-88.0297222,SWA1775-1487312841-airline-0053,1
BLOKR,Waypoint (RNAV),41.2497222,-88.0833333,SWA1775-1487312841-airline-0053,2
BEKKI,Waypoint (RNAV),40.3166667,-88.3483333,SWA1775-1487312841-airline-0053,3
FAM,VOR-TAC (NAVAID),37.6734614,-90.2340597,SWA1775-1487312841-airline-0053,4
BSIDE,RNAV,37.0603667,-90.520125,SWA1775-1487312841-airline-0053,5
ARG,VOR-TAC (NAVAID),36.11002,-90.9536933,SWA1775-1487312841-airline-0053,6
LIT,VOR-TAC (NAVAID),34.6776728,-92.1805283,SWA1775-1487312841-airline-0053,7
LIT,VOR-TAC (NAVAID),34.6776728,-92.1805283,SWA1775-1487312841-airline-0053,8
JOLET,RNAV,34.19885,-92.2707722,SWA1775-1487312841-airline-0053,9
DHART,Reporting Point,33.3978167,-92.419325,SWA1775-1487312841-airline-0053,10
KAMEN,Reporting Point,32.6694861,-92.552075,SWA1775-1487312841-airline-0053,11
SWB,VOR-DME (NAVAID),31.9731944,-92.6770889,SWA1775-1487312841-airline-0053,12
SWB,VOR-DME (NAVAID),31.9731944,-92.6770833,SWA1775-1487312841-airline-0053,13
JMIKE,Waypoint,30.7833333,-93.8156944,SWA1775-1487312841-airline-0053,14
ZEBBB,Waypoint,30.6214444,-93.9669444,SWA1775-1487312841-airline-0053,15
WAPPL,Reporting Point,30.2318889,-94.3306389,SWA1775-1487312841-airline-0053,16
WLMOR,Waypoint,30.1529722,-94.6251944,SWA1775-1487312841-airline-0053,17
HUDZY,Reporting Point,30.1035556,-94.8088056,SWA1775-1487312841-airline-0053,18
CLWSN,Reporting Point,30.0737222,-94.9188333,SWA1775-1487312841-airline-0053,19
SWWAA,Reporting Point,30.00875,-95.1570556,SWA1775-1487312841-airline-0053,20
PUSHN,Waypoint,29.8605,-95.2005,SWA1775-1487312841-airline-0053,21
BUGZY,Waypoint,29.76225,-95.2312778,SWA1775-1487312841-airline-0053,22
PRTCH,Waypoint,29.7231944,-95.2433056,SWA1775-1487312841-airline-0053,23
SHUUG,Waypoint,29.5637222,-95.24175,SWA1775-1487312841-airline-0053,24
EMARR,Waypoint,29.5400833,-95.2687778,SWA1775-1487312841-airline-0053,25
KHOU,Destination Airport,29.6454167,-95.2788889,SWA1775-1487312841-airline-0053,26
KLAX,Origin Airport,33.9428209,-118.4092766,SWA4424-1487312847-airline-0460,0
FABRA,Waypoint,33.9456389,-118.4649722,SWA4424-1487312847-airline-0460,1
ENNEY,Waypoint,33.9427778,-118.5013889,SWA4424-1487312847-airline-0460,2
NAANC,Waypoint,33.9316667,-118.6438889,SWA4424-1487312847-airline-0460,3
DOCAG,Waypoint,33.8027778,-118.6833333,SWA4424-1487312847-airline-0460,4
PEVEE,Waypoint,33.6972222,-118.5208333,SWA4424-1487312847-airline-0460,5
HOLTZ,Waypoint,33.6445556,-118.343,SWA4424-1487312847-airline-0460,6
TRM,VOR-TAC (NAVAID),33.6280833,-116.1601944,SWA4424-1487312847-airline-0460,7
BLH,VOR-TAC (NAVAID),33.5961111,-114.7613889,SWA4424-1487312847-airline-0460,8
KA21M,NRS-WAYPOINT,33.5,-114.0,SWA4424-1487312847-airline-0460,9
SSO,VOR-TAC (NAVAID),32.2691667,-109.2630556,SWA4424-1487312847-airline-0460,10
ELP,VOR-TAC (NAVAID),31.8158333,-106.2819444,SWA4424-1487312847-airline-0460,11
FST,VOR-TAC (NAVAID),30.9521069,-102.9757114,SWA4424-1487312847-airline-0460,12
SHUCK,Reporting Point,30.5073611,-101.2928806,SWA4424-1487312847-airline-0460,13
CSI,VOR-TAC (NAVAID),29.9223544,-99.2144858,SWA4424-1487312847-airline-0460,14
SAT,VOR-TAC (NAVAID),29.6440317,-98.4613144,SWA4424-1487312847-airline-0460,15
SAT,VOR-TAC (NAVAID),29.6440278,-98.4613056,SWA4424-1487312847-airline-0460,16
BALKK,Waypoint,29.4199444,-97.0269167,SWA4424-1487312847-airline-0460,17
PARAA,Waypoint,29.4108056,-96.9706389,SWA4424-1487312847-airline-0460,18
GLOCK,Waypoint,29.3801667,-96.6479722,SWA4424-1487312847-airline-0460,19
KMMBR,Waypoint,29.3662778,-96.5061667,SWA4424-1487312847-airline-0460,20
BELLR,Reporting Point,29.3248611,-96.0886667,SWA4424-1487312847-airline-0460,21
HNTRR,Waypoint,29.4695,-95.8784444,SWA4424-1487312847-airline-0460,22
GEEEO,Waypoint,29.4803333,-95.6489722,SWA4424-1487312847-airline-0460,23
KHOU,Destination Airport,29.6454167,-95.2788889,SWA4424-1487312847-airline-0460,24
KLAX,Origin Airport,33.9428209,-118.4092766,SWA4162-1487312847-airline-0883,0
FABRA,Waypoint,33.9456389,-118.4649722,SWA4162-1487312847-airline-0883,1
ENNEY,Waypoint,33.9427778,-118.5013889,SWA4162-1487312847-airline-0883,2
NAANC,Waypoint,33.9316667,-118.6438889,SWA4162-1487312847-airline-0883,3
DOCAG,Waypoint,33.8027778,-118.6833333,SWA4162-1487312847-airline-0883,4
PEVEE,Waypoint,33.6972222,-118.5208333,SWA4162-1487312847-airline-0883,5
HOLTZ,Waypoint,33.6445556,-118.343,SWA4162-1487312847-airline-0883,6
TRM,VOR-TAC (NAVAID),33.6280833,-116.1601944,SWA4162-1487312847-airline-0883,7
BLH,VOR-TAC (NAVAID),33.5961111,-114.7613889,SWA4162-1487312847-airline-0883,8
KA21M,NRS-WAYPOINT,33.5,-114.0,SWA4162-1487312847-airline-0883,9
SSO,VOR-TAC (NAVAID),32.2691667,-109.2630556,SWA4162-1487312847-airline-0883,10
ELP,VOR-TAC (NAVAID),31.8158333,-106.2819444,SWA4162-1487312847-airline-0883,11
FST,VOR-TAC (NAVAID),30.9521069,-102.9757114,SWA4162-1487312847-airline-0883,12
SHUCK,Reporting Point,30.5073611,-101.2928806,SWA4162-1487312847-airline-0883,13
CSI,VOR-TAC (NAVAID),29.9223544,-99.2144858,SWA4162-1487312847-airline-0883,14
SAT,VOR-TAC (NAVAID),29.6440317,-98.4613144,SWA4162-1487312847-airline-0883,15
SAT,VOR-TAC (NAVAID),29.6440278,-98.4613056,SWA4162-1487312847-airline-0883,16
BALKK,Waypoint,29.4199444,-97.0269167,SWA4162-1487312847-airline-0883,17
PARAA,Waypoint,29.4108056,-96.9706389,SWA4162-1487312847-airline-0883,18
GLOCK,Waypoint,29.3801667,-96.6479722,SWA4162-1487312847-airline-0883,19
KMMBR,Waypoint,29.3662778,-96.5061667,SWA4162-1487312847-airline-0883,20
BELLR,Reporting Point,29.3248611,-96.0886667,SWA4162-1487312847-airline-0883,21
HNTRR,Waypoint,29.4695,-95.8784444,SWA4162-1487312847-airline-0883,22
GEEEO,Waypoint,29.4803333,-95.6489722,SWA4162-1487312847-airline-0883,23
KHOU,Destination Airport,29.6454167,-95.2788889,SWA4162-1487312847-airline-0883,24
KSAT,Origin Airport,29.533958,-98.4690571,SWA5447-1487312847-airline-0172,0
VAUHN,Waypoint,29.676,-98.0146944,SWA5447-1487312847-airline-0172,1
SETZR,Waypoint,29.7126667,-97.8308611,SWA5447-1487312847-airline-0172,2
SMAKR,Waypoint,29.6936389,-97.3977222,SWA5447-1487312847-airline-0172,3
SMAKR,Waypoint,29.6936389,-97.3977222,SWA5447-1487312847-airline-0172,4
PURKY,Waypoint,29.4389167,-96.4876389,SWA5447-1487312847-airline-0172,5
