,airport,time,cloud_friendly,cloud_altitude,cloud_type,conditions,pressure,temp_air,temp_dewpoint,temp_relhum,visibility,wind_friendly,wind_direction,wind_speed,wind_speed_gust,raw_data,time_human,time_date,time_timestamp,time_time_hour_stamp
0,KHOU,1487548380,Scattered clouds,1600,BKN,,29.84,23,20,84,10.0,Light winds,110,9,18,KHOU 192353Z 11009G18KT 10SM BKN016 OVC250 23/20 A2984 RMK AO2 SLP109 BINOVC T02280200 10267 20228 58009,2017-02-19 23:53:00,2017-02-19,23:53:00,23
1,KHOU,1487544780,Scattered clouds,5500,BKN,,29.88,24,19,76,10.0,Windy,140,11,0,KHOU 192253Z 14011KT 10SM SCT020 BKN055 OVC250 24/19 A2988 RMK AO2 SLP121 BINOVC T02390194,2017-02-19 22:53:00,2017-02-19,22:53:00,22
2,KHOU,1487541180,Scattered clouds,9000,BKN,,29.87,25,19,69,10.0,Windy,130,12,20,KHOU 192153Z 13012G20KT 10SM SCT045 BKN090 BKN250 25/19 A2987 RMK AO2 SLP118 T02500189,2017-02-19 21:53:00,2017-02-19,21:53:00,21
3,KHOU,1487537580,Scattered clouds,25000,BKN,,29.87,27,18,60,10.0,Light winds,140,10,17,KHOU 192053Z 14010G17KT 10SM SCT025 BKN250 27/18 A2987 RMK AO2 SLP118 T02670183 56026,2017-02-19 20:53:00,2017-02-19,20:53:00,20
4,KHOU,1487533980,Scattered clouds,25000,BKN,,29.89,26,19,65,10.0,Windy,150,15,23,KHOU 191953Z 15015G23KT 10SM SCT025 BKN250 26/19 A2989 RMK AO2 PK WND 16026/1917 SLP126 T02610189,2017-02-19 19:53:00,2017-02-19,19:53:00,19
5,KHOU,1487532480,Scattered clouds,25000,BKN,,29.9,26,19,69,10.0,Windy,140,16,25,KHOU 191928Z 14016G25KT 10SM SCT022 BKN250 26/19 A2990 RMK AO2 PK WND 16026/1917 T02560194,2017-02-19 19:28:00,2017-02-19,19:28:00,19
6,KHOU,1487530380,Scattered clouds,2200,BKN,,29.92,26,19,69,10.0,Windy,160,16,25,KHOU 191853Z 16016G25KT 10SM BKN022 BKN026 BKN250 26/19 A2992 RMK AO2 SLP135 T02560194,2017-02-19 18:53:00,2017-02-19,18:53:00,18
7,KHOU,1487529900,Scattered clouds,2200,BKN,,29.92,25,19,71,10.0,Windy,150,11,19,KHOU 191845Z 15011G19KT 10SM BKN022 BKN026 BKN250 25/19 A2992 RMK AO2 T02500194,2017-02-19 18:45:00,2017-02-19,18:45:00,18
8,KHOU,1487526780,Scattered clouds,900,BKN,,29.94,22,20,87,7.0,Light winds,130,8,18,KHOU 191753Z 13008G18KT 7SM BKN009 BKN014 OVC025 22/20 A2994 RMK AO2 SLP144 60000 T02220200 10222 20206 58001,2017-02-19 17:53:00,2017-02-19,17:53:00,17
9,KHOU,1487523180,Overcast skies,500,OVC,BR,29.97,21,20,96,5.0,Light winds,110,7,0,KHOU 191653Z 11007KT 5SM BR OVC005 21/20 A2997 RMK AO2 RAE22 CIG 004V008 SLP152 P0000 T02060200,2017-02-19 16:53:00,2017-02-19,16:53:00,16
